Player,Team,Position,Experience,Salary
Erick Aybar,Los Angeles Angels,Shortstop,8,3000000
Erik Bedard,Seattle Mariners,Pitcher,13,1000000
Ernesto Frieri,San Diego Padres,Pitcher,5,417100
Ervin Santana,Los Angeles Angels,Pitcher,8,8000000
Esmil Rogers,Colorado Rockies,Pitcher,19,417000
Evan Longoria,Tampa Bay Rays,Third Baseman,15,2000000
Evan Meek,Pittsburgh Pirates,Pitcher,37,461500
Fausto Carmona,Cleveland Indians,Pitcher,25,6287500
Felipe Paulino,Colorado Rockies,Pitcher,6,790000
Felix Doubront,Boston Red Sox,Pitcher,30,417000
Felix Hernandez,Seattle Mariners,Pitcher,8,11700000
Felix Pie,Baltimore Orioles,Outfielder,29,985000
Fernando Abad,Houston Astros,Pitcher,12,418000
Fernando Rodney,Los Angeles Angels,Pitcher,7,5500000
Francisco Cervelli,New York Yankees,Catcher,6,455700
Francisco Cordero,Cincinnati Reds,Pitcher,3,12125000
Francisco Liriano,Minnesota Twins,Pitcher,2,4300000
Francisco Rodriguez,New York Mets,Pitcher,32,12166666
Frank Francisco,Toronto Blue Jays,Pitcher,8,4000000
Frank Herrmann,Cleveland Indians,Pitcher,11,419800
Franklin Gutierrez,Seattle Mariners,Outfielder,23,4312500
Franklin Morales,Colorado Rockies,Pitcher,15,424000
Fred Lewis,Cincinnati Reds,Outfielder,4,900000
Freddie Freeman,Atlanta Braves,First Baseman,14,414000
Freddy Garcia,New York Yankees,Pitcher,19,1500000
Freddy Sanchez,San Francisco Giants,Second Baseman,11,6000000
Freddy Sandoval,Los Angeles Angels,Third Baseman,27,414000
Gaby Sanchez,Miami Marlins,First Baseman,14,431000
Garrett Jones,Pittsburgh Pirates,Outfielder,12,455500
Garrett Olson,Pittsburgh Pirates,Pitcher,22,430000
Gavin Floyd,Chicago White Sox,Pitcher,7,5000000
Geoff Blum,Arizona Diamondbacks,Second Baseman,9,1350000
George Kottaras,Milwaukee Brewers,Catcher,12,440000
George Sherrill,Atlanta Braves,Pitcher,12,1200000
